x,y,z,peakV_mps,log_argmax_hits,is_blowup
558707.000,3744410.000,-247.439,12.1791,96,0
559083.000,3744080.000,-50.434,12.1751,3,0
551023.000,3748820.000,-229.313,12.1653,46,0
555605.000,3746380.000,-434.002,12.1647,62,0
549228.000,3749710.000,-315.959,12.1635,29,0
560471.000,3743340.000,-207.907,12.1576,111,0
559283.000,3744170.000,-428.077,12.1549,94,0
555639.000,3746220.000,-172.784,12.1539,29,0
562034.000,3742330.000,-52.758,12.1317,136,0
559802.000,3743680.000,-103.085,12.1294,155,0
556759.000,3745550.000,-225.087,12.1132,53,0
553218.000,3747700.000,-120.106,12.0902,86,0
551622.000,3748780.000,-688.177,12.0849,110,0
560019.000,3743700.000,-373.339,12.0823,105,0
556926.000,3745360.000,-46.387,12.0737,46,0
561749.000,3742680.000,-377.945,12.0456,34,0
558300.000,3744710.000,-354.324,12.0406,36,0
559339.000,3744040.000,-252.962,12.0363,102,0
552124.000,3748410.000,-457.787,12.0353,68,0
580235.000,3729070.000,-315.025,12.0239,142,0
560249.000,3743420.000,-103.835,12.0196,118,0
555676.000,3746240.000,-264.794,12.018,63,0
559636.000,3743840.000,-204.905,12.0138,24,0
560570.000,3743230.000,-104.110,12.0031,46,0
559135.000,3744160.000,-251.381,11.9992,90,0
561974.000,3742400.000,-105.306,11.9756,70,0
576984.000,3732560.000,-834.734,11.9713,212,0
551528.000,3748860.000,-761.072,11.9644,178,0
552527.000,3748140.000,-307.429,11.9639,89,0
561092.000,3742920.000,-104.472,11.9625,115,0
552463.000,3748030.000,-60.756,11.9563,123,0
558804.000,3744330.000,-198.581,11.9541,37,0
610435.000,3699530.000,-60.954,11.9531,98,0
562568.000,3742020.000,-52.969,11.9441,84,0
552679.000,3748160.000,-495.771,11.9353,104,0
